No	TMNo	EnNo	Name	GMNo	Mode	DateTime
30369	1	61		1	30	2014-03-31 12:02:35
30370	1	5		1	30	2014-03-31 12:02:42
30371	1	35		1	30	2014-03-31 12:02:59
30372	1	49		1	30	2014-03-31 12:03:16
30373	1	52		1	30	2014-03-31 12:03:18
30374	1	24		1	30	2014-03-31 12:03:34
30375	1	45		1	30	2014-03-31 12:03:40
30376	1	37		1	30	2014-03-31 12:03:52
30377	1	63		1	30	2014-03-31 12:03:56
30378	1	23		1	30	2014-03-31 12:04:00
30379	1	7		1	30	2014-03-31 12:04:26
30380	1	72		1	30	2014-03-31 12:04:29
30381	1	30		1	30	2014-03-31 12:04:33
30382	1	18		1	30	2014-03-31 12:04:38
30383	1	67		1	30	2014-03-31 12:05:32
30384	1	57		1	30	2014-03-31 12:05:44
30385	1	53		1	30	2014-03-31 12:05:46
30386	1	73		1	30	2014-03-31 12:05:54
30387	1	43		1	30	2014-03-31 12:05:58
30388	1	14		1	30	2014-03-31 12:06:37
30389	1	65		1	30	2014-03-31 12:07:27
30390	1	41		1	30	2014-03-31 12:07:32
30391	1	19		1	30	2014-03-31 12:07:46
30392	1	64		1	30	2014-03-31 12:08:37
30393	1	70		1	30	2014-03-31 12:08:53
30394	1	3		1	30	2014-03-31 12:09:04
30395	1	6		1	30	2014-03-31 12:09:32
30396	1	8		1	30	2014-03-31 12:10:01
30397	1	58		1	30	2014-03-31 12:10:05
30398	1	48		1	30	2014-03-31 12:11:26
30399	1	10		1	30	2014-03-31 12:11:35
30400	1	2		1	30	2014-03-31 12:11:52
30401	1	33		1	30	2014-03-31 12:12:48
30402	1	60		1	30	2014-03-31 12:19:31
30403	1	69		1	30	2014-03-31 12:33:20
30404	1	12		1	30	2014-03-31 12:33:24
30405	1	54		1	30	2014-03-31 12:42:45
30406	1	71		1	30	2014-03-31 13:02:31
30407	1	8		1	30	2014-03-31 13:03:58
30408	1	24		1	30	2014-03-31 13:04:08
30409	1	59		1	30	2014-03-31 13:04:11
30410	1	53		1	30	2014-03-31 13:04:15
30411	1	4		1	30	2014-03-31 13:04:18
30412	1	48		1	30	2014-03-31 13:04:37
30413	1	52		1	30	2014-03-31 13:05:02
30414	1	21		1	30	2014-03-31 13:05:12
30415	1	73		1	30	2014-03-31 13:06:01
30416	1	61		1	30	2014-03-31 13:06:24
30417	1	65		1	30	2014-03-31 13:08:23
30418	1	69		1	30	2014-03-31 13:08:34
30419	1	70		1	30	2014-03-31 13:08:37
30420	1	60		1	30	2014-03-31 13:08:49
30421	1	45		1	30	2014-03-31 13:08:54
30422	1	5		1	30	2014-03-31 13:09:58
30423	1	67		1	30	2014-03-31 13:10:22
30424	1	14		1	30	2014-03-31 13:11:52
30425	1	38		1	30	2014-03-31 13:14:06
30426	1	18		1	30	2014-03-31 13:14:25
30427	1	37		1	30	2014-03-31 13:14:50
30428	1	35		1	30	2014-03-31 13:15:32
30429	1	7		1	30	2014-03-31 13:15:41
30430	1	57		1	30	2014-03-31 13:16:49
30431	1	58		1	30	2014-03-31 13:17:02
30432	1	64		1	30	2014-03-31 13:17:30
30433	1	3		1	30	2014-03-31 13:18:14
30434	1	9		1	30	2014-03-31 13:18:43
30435	1	43		1	30	2014-03-31 13:19:09
30436	1	17		1	30	2014-03-31 13:19:13
30437	1	33		1	30	2014-03-31 13:19:38
30438	1	49		1	30	2014-03-31 13:20:09
30439	1	72		1	30	2014-03-31 13:21:03
30440	1	30		1	30	2014-03-31 13:21:41
30441	1	12		1	30	2014-03-31 13:23:37
30442	1	55		1	30	2014-03-31 13:25:17
30443	1	41		1	30	2014-03-31 13:26:13
30444	1	54		1	30	2014-03-31 13:27:10
30445	1	19		1	30	2014-03-31 13:27:18
30446	1	10		1	30	2014-03-31 13:27:42
30447	1	63		1	30	2014-03-31 13:27:53
30448	1	20		1	30	2014-03-31 13:28:39
30449	1	6		1	30	2014-03-31 13:29:22
30450	1	64		1	30	2014-03-31 13:40:34
30451	1	17		1	30	2014-03-31 16:34:40
30452	1	48		1	30	2014-03-31 17:01:00
30453	1	69		1	30	2014-03-31 17:12:56
30454	1	41		1	30	2014-03-31 17:31:09
30455	1	5		1	30	2014-03-31 17:31:21
30456	1	59		1	30	2014-03-31 17:32:33
30457	1	21		1	30	2014-03-31 17:32:45
30458	1	12		1	30	2014-03-31 17:33:10
30459	1	24		1	30	2014-03-31 17:33:13
30460	1	58		1	30	2014-03-31 17:33:31
30461	1	55		1	30	2014-03-31 17:33:41
30462	1	9		1	30	2014-03-31 17:33:48
30463	1	73		1	30	2014-03-31 17:34:00
30464	1	7		1	30	2014-03-31 17:34:06
30465	1	3		1	30	2014-03-31 17:34:31
30466	1	14		1	30	2014-03-31 17:34:50
30467	1	20		1	30	2014-03-31 17:34:55
30468	1	67		1	30	2014-03-31 17:35:18
30469	1	38		1	30	2014-03-31 17:35:25
30470	1	37		1	30	2014-03-31 17:35:35
30471	1	57		1	30	2014-03-31 17:35:48
30472	1	2		1	30	2014-03-31 17:36:15
30473	1	8		1	30	2014-03-31 17:36:22
30474	1	60		1	30	2014-03-31 17:36:29
